gameId,total,maximo,minimo,margen,prorrogas,fecha,partido,estrella_gs,mvp,nota_igualdad,nota_ritmo,nota_ot,nota_estrella,KPI
0022500001,249,125,124,1,2,2025-10-21,OKC vs HOU,33.1,Alperen Sengun,0.95,0.8166666666666667,1.0,0.6033333333333334,84.9
0022500002,228,119,109,10,0,2025-10-21,LAL vs GSW,38.9,Luka Dončić,0.5,0.4666666666666667,0.0,0.7966666666666666,48.7
0022500003,230,119,111,8,0,2025-10-22,NYK vs CLE,21.299999999999997,Donovan Mitchell,0.6,0.5,0.0,0.2099999999999999,35.8
0022500004,217,125,92,33,0,2025-10-22,DAL vs SAS,37.6,Victor Wembanyama,0.0,0.2833333333333333,0.0,0.7533333333333334,24.0
0022500080,253,136,117,19,0,2025-10-22,CHA vs BKN,18.8,Miles Bridges,0.050000000000000044,0.8833333333333333,0.0,0.12666666666666668,10.5
0022500081,246,125,121,4,0,2025-10-22,ORL vs MIA,21.300000000000004,Norman Powell,0.8,0.7666666666666667,0.0,0.21000000000000013,46.1
0022500082,256,138,118,20,0,2025-10-22,ATL vs TOR,23.7,Scottie Barnes,0.0,0.9333333333333333,0.0,0.29,13.4
0022500083,233,117,116,1,0,2025-10-22,BOS vs PHI,32.500000000000014,Tyrese Maxey,0.95,0.55,0.0,0.5833333333333338,63.0
0022500084,226,115,111,4,0,2025-10-22,CHI vs DET,26.199999999999996,Nikola Vučević,0.8,0.43333333333333335,0.0,0.3733333333333332,49.4
0022500085,250,128,122,6,0,2025-10-22,MEM vs NOP,27.000000000000004,Ja Morant,0.7,0.8333333333333334,0.0,0.40000000000000013,47.7
0022500086,253,133,120,13,0,2025-10-22,MIL vs WAS,28.9,Giannis Antetokounmpo,0.35,0.8833333333333333,0.0,0.46333333333333326,34.1
0022500087,237,129,108,21,0,2025-10-22,UTA vs LAC,27.200000000000003,Walker Kessler,0.0,0.6166666666666667,0.0,0.4066666666666668,15.3
0022500088,236,120,116,4,0,2025-10-22,PHX vs SAC,29.699999999999996,DeMar DeRozan,0.8,0.6,0.0,0.4899999999999999,53.7
0022500089,232,118,114,4,0,2025-10-22,POR vs MIN,25.3,Anthony Edwards,0.8,0.5333333333333333,0.0,0.3433333333333334,49.0
0022500005,276,141,135,6,2,2025-10-23,IND vs OKC,43.099999999999994,Shai Gilgeous-Alexander,0.7,1.0,1.0,0.9366666666666664,84.6
0022500006,268,137,131,6,1,2025-10-23,GSW vs DEN,44.199999999999996,Aaron Gordon,0.7,1.0,0.7,0.9733333333333332,79.7
0022500018,200,105,95,10,0,2025-10-24,NYK vs BOS,23.6,Jalen Brunson,0.5,0.0,0.0,0.28666666666666674,31.1
0022500019,238,128,110,18,0,2025-10-24,LAL vs MIN,42.0,Luka Dončić,0.09999999999999998,0.6333333333333333,0.0,0.9,34.7
0022500090,218,111,107,4,0,2025-10-24,ORL vs ATL,20.900000000000002,Trae Young,0.8,0.3,0.0,0.19666666666666674,43.4
0022500091,255,131,124,7,0,2025-10-24,BKN vs CLE,30.200000000000003,Donovan Mitchell,0.65,0.9166666666666666,0.0,0.5066666666666667,49.0
0022500092,238,122,116,6,0,2025-10-24,TOR vs MIL,32.2,Giannis Antetokounmpo,0.7,0.6333333333333333,0.0,0.5733333333333335,51.9
0022500093,226,115,111,4,0,2025-10-24,HOU vs DET,31.700000000000006,Kevin Durant,0.8,0.43333333333333335,0.0,0.5566666666666669,54.9
0022500094,260,146,114,32,0,2025-10-24,MEM vs MIA,20.999999999999996,Nikola Jović,0.0,1.0,0.0,0.19999999999999987,11.0
0022500095,236,120,116,4,1,2025-10-24,NOP vs SAS,28.5,Victor Wembanyama,0.8,0.6,0.7,0.45,66.5
0022500096,224,117,107,10,0,2025-10-24,DAL vs WAS,31.9,Kyshawn George,0.5,0.4,0.0,0.5633333333333332,41.4
0022500097,258,139,119,20,0,2025-10-24,POR vs GSW,26.699999999999996,Stephen Curry,0.0,0.9666666666666667,0.0,0.38999999999999985,16.5
0022500098,209,105,104,1,0,2025-10-24,SAC vs UTA,22.2,Zach LaVine,0.95,0.15,0.0,0.23999999999999996,50.7
0022500099,231,129,102,27,0,2025-10-24,LAC vs PHX,27.700000000000006,James Harden,0.0,0.5166666666666667,0.0,0.42333333333333356,15.3
0022500100,208,110,98,12,0,2025-10-25,ORL vs CHI,16.8,Tre Jones,0.4,0.13333333333333333,0.0,0.060000000000000026,20.5
0022500101,217,117,100,17,0,2025-10-25,ATL vs OKC,30.10000000000001,Chet Holmgren,0.15000000000000002,0.2833333333333333,0.0,0.5033333333333336,23.3
0022500102,246,125,121,4,0,2025-10-25,PHI vs CHA,24.3,LaMelo Ball,0.8,0.7666666666666667,0.0,0.31,49.1
0022500103,231,128,103,25,0,2025-10-25,MEM vs IND,27.1,Cedric Coward,0.0,0.5166666666666667,0.0,0.4033333333333334,14.7
0022500104,244,133,111,22,0,2025-10-25,DEN vs PHX,22.3,Nikola Jokić,0.0,0.7333333333333333,0.0,0.24333333333333335,11.0
0022500105,225,118,107,11,0,2025-10-26,SAS vs BKN,29.3,Victor Wembanyama,0.44999999999999996,0.4166666666666667,0.0,0.4766666666666667,36.6
0022500106,232,119,113,6,0,2025-10-26,DET vs BOS,27.299999999999994,Jaylen Brown,0.7,0.5333333333333333,0.0,0.4099999999999998,46.5
0022500107,231,118,113,5,0,2025-10-26,CLE vs MIL,43.1,Giannis Antetokounmpo,0.75,0.5166666666666667,0.0,0.9366666666666668,64.4
0022500108,222,115,107,8,0,2025-10-26,MIA vs NYK,30.4,Jalen Brunson,0.6,0.36666666666666664,0.0,0.5133333333333333,44.2
0022500109,252,139,113,26,0,2025-10-26,WAS vs CHA,38.1,LaMelo Ball,0.0,0.8666666666666667,0.0,0.77,27.4
0022500110,224,114,110,4,0,2025-10-26,MIN vs IND,27.4,Pascal Siakam,0.8,0.4,0.0,0.4133333333333333,50.4
0022500111,268,139,129,10,0,2025-10-26,DAL vs TOR,25.7,Anthony Davis,0.5,1.0,0.0,0.35666666666666663,38.2
0022500112,221,114,107,7,0,2025-10-26,LAC vs POR,24.7,Kawhi Leonard,0.65,0.35,0.0,0.3233333333333333,40.7
0022500113,247,127,120,7,0,2025-10-26,SAC vs LAL,49.6,Austin Reaves,0.65,0.7833333333333333,0.0,1.0,63.2
0022500007,211,116,95,21,0,2025-10-27,DET vs CLE,23.900000000000002,Donovan Mitchell,0.0,0.18333333333333332,0.0,0.29666666666666675,9.8
0022500008,241,127,114,13,0,2025-10-27,MIN vs DEN,34.800000000000004,Nikola Jokić,0.35,0.6833333333333333,0.0,0.6600000000000001,39.0
0022500114,260,136,124,12,0,2025-10-27,PHI vs ORL,32.6,Tyrese Maxey,0.4,1.0,0.0,0.5866666666666667,40.6
0022500115,251,128,123,5,0,2025-10-27,CHI vs ATL,22.900000000000002,Nikola Vučević,0.75,0.85,0.0,0.2633333333333334,45.9
